GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Test,test.aop.logging,LoggingAspect,117,0,10,0,27,0,11,0,6,0
Test,test.web.rest.errors,ExceptionTranslator,506,0,88,0,89,0,68,0,24,0
Test,test.web.rest.errors,InvalidPasswordException,14,0,0,0,7,0,1,0,1,0
Test,test.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
Test,test.web.rest.errors,EmailAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Test,test.web.rest.errors,BadRequestAlertException,44,0,0,0,16,0,5,0,5,0
Test,test.web.rest.errors,ErrorConstants,16,0,0,0,5,0,1,0,1,0
Test,test.web.rest.errors,LoginAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Test,test,TestApp,149,0,10,0,34,0,11,0,6,0
Test,test,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Test,test.security,UserNotActivatedException,9,0,0,0,4,0,2,0,2,0
Test,test.security,DomainUserDetailsService,101,0,4,0,24,0,9,0,7,0
Test,test.security,SpringSecurityAuditorAware,9,0,0,0,2,0,2,0,2,0
Test,test.security,SecurityUtils,16,109,6,12,4,21,6,15,0,12
Test,test.service,MailService,195,0,2,0,46,0,9,0,8,0
Test,test.service,UsernameAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Test,test.service,EmailAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Test,test.service,InvalidPasswordException,4,0,0,0,2,0,1,0,1,0
Test,test.service,UserService,631,0,22,0,180,0,40,0,29,0
Test,test.service.dto,UserDTO,23,11,0,0,9,4,6,1,6,1
Test,test.service.dto,PasswordChangeDTO,26,0,0,0,12,0,6,0,6,0
Test,test.service.dto,AdminUserDTO,92,95,0,0,31,27,18,11,18,11
Test,test.service.mapper,UserMapper,100,114,12,6,27,33,12,11,6,8
Test,test.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Test,test.domain,User,70,83,8,0,17,33,14,20,10,20
Test,test.domain,Authority,21,14,4,0,6,5,4,4,2,4
Test,test.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Test,test.domain,User_,3,0,0,0,1,0,1,0,1,0
Test,test.domain,AbstractAuditingEntity,16,21,0,0,8,9,4,5,4,5
Test,test.web.filter,SpaWebFilter,42,0,10,0,12,0,7,0,2,0
Test,test.web.rest.vm,KeyAndPasswordVM,17,0,0,0,7,0,5,0,5,0
Test,test.web.rest.vm,ManagedUserVM,14,0,0,0,6,0,4,0,4,0
Test,test.web.rest.vm,LoginVM,30,0,0,0,11,0,8,0,8,0
Test,test.config,SecurityJwtConfiguration,95,0,8,0,23,0,10,0,6,0
Test,test.config,StaticResourcesWebConfiguration,0,86,0,0,0,13,0,7,0,7
Test,test.config,LoggingConfiguration,53,0,8,0,15,0,5,0,1,0
Test,test.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
Test,test.config,JacksonConfiguration,18,0,0,0,4,0,4,0,4,0
Test,test.config,LocaleConfiguration,20,0,0,0,6,0,3,0,3,0
Test,test.config,CacheConfiguration,67,0,2,0,22,0,8,0,7,0
Test,test.config,WebConfigurer,23,112,7,7,5,28,7,6,1,5
Test,test.config,DatabaseConfiguration,3,0,0,0,1,0,1,0,1,0
Test,test.config,SecurityConfiguration,373,0,0,0,44,0,13,0,13,0
Test,test.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
Test,test.config,LiquibaseConfiguration,95,0,2,0,24,0,3,0,2,0
Test,test.config,ApplicationProperties,3,0,0,0,1,0,1,0,1,0
Test,test.config,CRLFLogConverter,142,0,14,0,24,0,12,0,5,0
Test,test.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
Test,test.management,SecurityMetersService,0,57,0,0,0,19,0,6,0,6
Test,test.web.rest,UserResource,269,0,16,0,47,0,16,0,8,0
Test,test.web.rest,PublicUserResource,88,0,2,0,14,0,6,0,5,0
Test,test.web.rest,AuthenticateController.JWTToken,13,0,0,0,6,0,3,0,3,0
Test,test.web.rest,AccountResource,197,0,24,0,53,0,23,0,11,0
Test,test.web.rest,AccountResource.AccountResourceException,4,0,0,0,2,0,1,0,1,0
Test,test.web.rest,AuthenticateController,113,0,2,0,29,0,5,0,4,0
